Symbol;Description;Digits;Spread;Swap Long;Swap Short;Swap Type;Stop Level;Lot Size;Lot Min;Lot Step;Tick Value;Tick Size;Trade Allowed;Pr. Mode
EURDKK;Euro vs Danish Krone;5;215;-38.41;-47.91;points;260;100000;0.01;0.01;0.566008;1E-05;yes;CFD
EURHKD;Euro vs Hong Kong Dollar;5;322;-63.86;-33.66;points;520;100000;0.01;0.01;0.481746;1E-05;yes;CFD
EURRUB;Euro vs RUB;4;4436;-269.43;64.46;points;738;100000;0.01;0.01;0.636484;1E-04;no;CFD
FRA40-JUL17;France 40 Index Futures July 2017;0;0;-0.45;-0.45;;600;1;0.01;1;0.01;0.01;yes;CFD
FRA40Cash;France 40 Index Cash;0;0;-0.38;-0.5;;400;1;0.01;1;0.01;0.01;yes;CFD
GBPDKK;Great Britan Pound vs Danish Krone;0;0;-27.08;-71.88;points;600;100000;0.01;0.01;0;1E-05;yes;CFD
GER30-SEP17;Germany 30 Index Futures September 2017;0;0;-0.45;-0.45;;600;1;0.01;1;0.01;0.01;yes;CFD
GER30Cash;Germany 30 Index Cash;2;200;-0.91;-1.21;;400;1;0.01;1;0.01;0.01;yes;CFD
GOLD;GOLD;2;41;-10.53;-1.32;points;100;100;0.01;0.01;3.75656;0.01;yes;CFD
GSOIL-JUL17;London Gas Oil Futures July 2017;0;0;-0.47;-0.23;;200;4;0.01;1;0.04;0.01;yes;CFD
HGCOP-JUL17;High Grade Copper Futures July 2017;0;0;-0.47;-0.23;;100;2000;0.01;1;0.2;1E-04;yes;CFD
HK50Cash;Hong Kong 50 Index Cash;0;0;-2.41;-1.88;;20;1;0.01;1;1;1;yes;CFD
IT40Cash;Italy 40 Index Cash;0;0;-1.5;-2;;30;1;0.01;1;1;1;yes;CFD
JP225-SEP17;Japan 225 Index Futures September 2017;0;0;-0.47;-0.23;;14;1;0.01;1;1;1;yes;CFD
JP225Cash;Japan 225 Index Cash;0;0;-1.65;-1.66;;10;1;0.01;1;1;1;yes;CFD
NETH25Cash;Netherlands 25 Index Cash;0;0;-0.04;-0.05;;100;1;0.01;1;0.01;0.01;yes;CFD
NGAS-JUL17;Natural Gas Futures July 2017;0;0;-0.5;-0.23;;70;1000;0.01;1;1;0.001;yes;CFD
OIL-AUG17;WTI Oil Futures August 2017;0;0;-0.47;-0.23;;10;100;0.01;1;1;0.01;yes;CFD
OILMn-AUG17;WTI Oil Mini Futures August 2017;0;0;-0.47;-0.23;;10;10;0.01;1;0.1;0.01;yes;CFD
PALL-SEP17;Palladium Futures September 2017;0;0;-0.47;-0.23;;1000;10;0.01;1;0.05;0.05;yes;CFD
PLAT-JUL17;Platinum Futures July 2017;0;0;-0.47;-0.23;;800;10;0.01;1;0.1;0.01;yes;CFD
POL20Cash;Poland 20 Index Cash;0;3;-0.31;-0.09;;3;1;0.01;1;1;1;no;CFD
SBEAN-JUL17;US Soybeans Futures July 2017;0;0;-0.76;-0.42;dep ccy;200;400;0.01;1;0.04;1E-04;yes;CFD
SILVER;SILVER;3;47;-5.5;-5.01;points;140;5000;0.01;0.01;18.7828;0.001;yes;CFD
SING-JUN17;Singapore Blue Chip Index Futures June 2017;0;0;-0.47;-0.23;;100;1;0.01;1;0.01;0.01;yes;CFD
SINGCash;Singapore Blue Chip Index Cash;0;0;-0.04;-0.02;;100;1;0.01;1;0.01;0.01;yes;CFD
